Comment,Published At,Like Count,Reply Count
Reply: learn to embrace necessary suffering until it becomes not-suffering. That’s basically what discipline is,2025-06-16T10:21:38Z,0,0
❤❤❤❤❤,2025-06-16T04:25:05Z,1,0
"I am from crypto space. I am trying to learn the math behind zero-knowledge proof. It is so freaking hard! After quitting school for so many years, i can&#39;t even remember what polynomial is. Btw, what books would you recommend to seriously study the math behind modern cryptography ?",2025-06-16T04:06:54Z,9,4
"Reply: I recommend the book by Trappe and Washington. It is called Introduction to Cryptography with Coding Theory. It&#39;s kind of expensive and it&#39;s not perfect but, I did read the entire book and I thought it was &quot;easy&quot; compared to other high lvl math books. Note this was Pre-Bitcoin. I hope this helps my friend! Cryptography is a beautiful subject!",2025-06-16T04:14:33Z,9,0
"Reply: If he can&#39;t even remember what a polinomial is, isn&#39;t he should start with some algebra?<br>Like Blitzer college algebra book.<br>​@@TheMathSorcerer",2025-06-16T04:20:53Z,0,0
"Reply: @@TheMathSorcerer When i was doing math back in the day in school, i always memorise the formula and plug in the number so i can get the result and pass the exam. But now i find myself completely lost when it comes to really understanding the why and what of the math. I can&#39;t get the intuition why the math is done this way. I feel totally upset. How much effort do i have to put in to get to that level?",2025-06-16T04:26:01Z,0,0
"Reply: A good place to start mathematically if you’re willing to work is Apostols Calculus. It will introduce you to proof writing and higher math ideas but will also teach calculus. For elementary math it doesn’t really matter, any decent high school algebra + geometry textbook will be fine",2025-06-17T14:47:37Z,1,0
I love these motivational videos . Thank you !,2025-06-16T04:05:17Z,33,0
You have a camera equipped with a high-performance lens.,2025-06-16T03:56:19Z,15,1
Reply: Is that a compliment or a sarcasm? 😂,2025-06-16T07:38:31Z,5,0
Thanks sir ❤,2025-06-16T03:54:29Z,6,0
Such kind eyes,2025-06-16T03:47:12Z,29,0
