Comment,Published At,Like Count,Reply Count
Can you make a video about the math required for effective trading please,2025-06-14T20:45:12Z,0,1
"Reply: Follow Buffet&#39;s advice: drop trading, work on a marketable skill and invest your income in an index fund.",2025-06-17T10:18:52Z,0,0
❤❤❤❤❤,2025-06-13T12:50:28Z,0,0
"Sir, do a video on set book that are available in hard copy, for those who are interested to become a successful self-taught Quantitative Researcher and Crypto Trading",2025-06-13T12:13:12Z,1,0
Please provide pdf of this book,2025-06-12T06:09:58Z,0,1
Reply: Your country&#39;s name,2025-06-13T07:11:20Z,0,0
"Wow, really expensive for Dover books at $33. I&#39;ve noticed the past year or so since I buy used books, more than I need, that the prices have skyrocket many times over.",2025-06-12T02:19:19Z,1,0
"My library must have over a hundred math books thanks to these videos 😂 Now, to learn and understand it all 🙃",2025-06-11T20:45:47Z,4,1
"Reply: Same here.   Mostly I&#39;d take out books at the library, scan them into the computer using pdf format.  And just return the book.   They have book copiers now that are pretty fast.",2025-06-11T21:23:13Z,2,0
